uuid,creation_date,frequency,day,updated_at,next_payment_day,status,user.id,event.timestamp,event.name,allowance.scheduled.frequency,allowance.scheduled.day,allowance.amount,calculated_next_payment_day
1fc74dc2-7d96-4a2a-a8c0-ae3a61eacf7d,2024-12-03 03:39:37,weekly,friday,2024-12-03 03:39:37,6,enabled,1fc74dc2-7d96-4a2a-a8c0-ae3a61eacf7d,2024-12-02 22:39:37,allowance.created,weekly,friday,11.0,13.0
397f8b21-3af1-4a08-81eb-e085eb1160ca,2024-12-03 03:36:34,weekly,friday,2024-12-03 03:36:34,6,enabled,397f8b21-3af1-4a08-81eb-e085eb1160ca,2024-12-02 22:36:34,allowance.created,weekly,friday,11.0,13.0
a32f2c6c-b44f-4741-aab9-f662c69a1ee6,2024-12-02 19:02:59,weekly,saturday,2024-12-03 04:43:44.703051525+00:00,7,enabled,a32f2c6c-b44f-4741-aab9-f662c69a1ee6,2024-12-02 20:43:44,allowance.edited,weekly,saturday,12.0,14.0
da063749-7635-4f56-92e1-7adb51c38ea1,2024-12-03 01:18:17,biweekly,tuesday,2024-12-03 01:18:17,17,enabled,da063749-7635-4f56-92e1-7adb51c38ea1,2024-12-02 20:18:17,allowance.created,biweekly,tuesday,5.0,10.0
26db6f4c-d81c-4ee1-92a8-308ea6051fde,2024-12-03 01:17:57,biweekly,tuesday,2024-12-03 01:17:57,17,enabled,26db6f4c-d81c-4ee1-92a8-308ea6051fde,2024-12-02 20:17:57,allowance.created,biweekly,tuesday,5.0,10.0
9a357c22-680a-4027-839f-b5cd4081dac9,2024-12-02 23:25:24,weekly,friday,2024-12-02 23:25:24,6,enabled,9a357c22-680a-4027-839f-b5cd4081dac9,2024-12-02 18:25:24,allowance.created,weekly,friday,9.0,13.0
7abc110c-1411-4a8c-b998-9f5e1948303a,2024-12-02 23:09:17,biweekly,tuesday,2024-12-02 23:09:17,17,enabled,7abc110c-1411-4a8c-b998-9f5e1948303a,2024-12-02 18:09:17,allowance.created,biweekly,tuesday,20.0,10.0
16bfe311-6965-4737-a23a-c8087e81ad8b,2024-12-02 20:38:50,monthly,first_day,2024-12-02 20:38:50,1,enabled,16bfe311-6965-4737-a23a-c8087e81ad8b,2024-12-02 15:38:50,allowance.created,monthly,first_day,40.0,9.0
de9d5f15-317e-4a76-a023-c0a910d498a8,2024-12-02 19:45:12,monthly,first_day,2024-12-02 19:45:12,1,enabled,de9d5f15-317e-4a76-a023-c0a910d498a8,2024-12-02 14:45:12,allowance.created,monthly,first_day,40.0,9.0
3f48527e-b835-4277-abff-6f8b20fb98c3,2024-12-02 19:03:10,monthly,first_day,2024-12-02 22:10:41.765623354+00:00,1,enabled,3f48527e-b835-4277-abff-6f8b20fb98c3,2024-12-02 14:10:41,allowance.edited,monthly,first_day,40.0,9.0
3942b8c4-9d37-4d6a-b788-558ec9a0f92a,2024-10-13 10:47:00,weekly,wednesday,2024-12-02 20:49:34.839477552+00:00,4,enabled,3942b8c4-9d37-4d6a-b788-558ec9a0f92a,2024-12-02 12:49:36,allowance.edited,weekly,wednesday,1.0,11.0
4a472370-1011-4fea-b453-7299b474393c,2024-12-02 15:35:45,weekly,wednesday,2024-12-02 15:35:45,4,enabled,4a472370-1011-4fea-b453-7299b474393c,2024-12-02 10:35:45,allowance.created,weekly,wednesday,5.0,11.0
f4a50088-6471-403f-b6ac-45cba283539a,2024-12-02 13:40:16,monthly,first_day,2024-12-02 13:40:16,1,enabled,f4a50088-6471-403f-b6ac-45cba283539a,2024-12-02 08:40:16,allowance.created,monthly,first_day,5.0,9.0
46c57d45-9c3c-4b9d-b6f2-0de62c7581fe,2024-12-02 09:46:51,weekly,friday,2024-12-02 09:46:51,6,enabled,46c57d45-9c3c-4b9d-b6f2-0de62c7581fe,2024-12-02 04:46:51,allowance.created,weekly,friday,30.0,13.0
f1613d85-2abd-4260-8454-b2fa05cbe99b,2024-12-01 23:45:33,weekly,monday,2024-12-01 23:45:33,9,enabled,f1613d85-2abd-4260-8454-b2fa05cbe99b,2024-12-01 18:45:33,allowance.created,weekly,monday,15.0,2.0
f97fd653-7fbc-4632-91a2-7c3cfc038aad,2024-12-01 20:55:56,weekly,monday,2024-12-02 08:00:31.805970777+00:00,9,enabled,f97fd653-7fbc-4632-91a2-7c3cfc038aad,2024-12-01 15:56:20,allowance.edited,weekly,monday,5.0,2.0
00f928a9-0516-435a-b084-8c579e5a01af,2024-12-01 16:57:52,biweekly,friday,2024-12-02 14:17:51.231072905+00:00,13,enabled,00f928a9-0516-435a-b084-8c579e5a01af,2024-12-01 12:02:52,allowance.edited,daily,daily,5.0,2.0
a010c12d-800e-4f12-9ecf-e641d5048b5c,2024-12-01 13:28:32,monthly,first_day,2024-12-01 13:28:32,1,enabled,a010c12d-800e-4f12-9ecf-e641d5048b5c,2024-12-01 08:28:32,allowance.created,monthly,first_day,50.0,8.0
ca35dec6-e198-407e-811b-b4b39f0462a6,2024-10-14 04:16:40,monthly,first_day,2024-12-01 08:03:44.567381255+00:00,1,enabled,ca35dec6-e198-407e-811b-b4b39f0462a6,2024-12-01 00:03:44,allowance.edited,monthly,first_day,5.0,8.0
14d3165d-9deb-44ae-bd12-4a33c4944bdc,2024-11-13 23:51:59,monthly,fifteenth_day,2024-12-01 05:42:52.348504620+00:00,15,enabled,14d3165d-9deb-44ae-bd12-4a33c4944bdc,2024-11-30 21:42:52,allowance.edited,monthly,fifteenth_day,40.0,7.0
ad335f49-b596-4673-be2d-a65f4dec0173,2024-12-01 01:53:47,biweekly,tuesday,2024-12-01 04:56:08.407899880+00:00,10,enabled,ad335f49-b596-4673-be2d-a65f4dec0173,2024-11-30 20:53:47,allowance.created,weekly,tuesday,15.0,3.0
159b3774-5819-480b-bb87-27096e8f2a37,2024-12-01 01:53:19,biweekly,tuesday,2024-12-01 04:55:51.168734758+00:00,10,enabled,159b3774-5819-480b-bb87-27096e8f2a37,2024-11-30 20:53:19,allowance.created,weekly,tuesday,15.0,3.0
a4f5c3ad-af84-4920-a0da-5f4db1203bfc,2024-12-01 00:12:08,weekly,friday,2024-12-01 03:13:31.902576656+00:00,6,enabled,a4f5c3ad-af84-4920-a0da-5f4db1203bfc,2024-11-30 19:12:09,allowance.created,daily,daily,40.0,8.0
09b5293e-2e3c-4dc5-a29d-1e0abbb4c3cb,2024-11-30 22:25:11,monthly,first_day,2024-12-01 08:00:27.904374209+00:00,1,enabled,09b5293e-2e3c-4dc5-a29d-1e0abbb4c3cb,2024-11-30 19:10:07,allowance.edited,monthly,first_day,3.0,2.0
55e02426-6483-4f93-994a-d060f3e3d9ae,2024-11-30 23:09:07,weekly,monday,2024-12-02 08:00:29.879325639+00:00,9,enabled,55e02426-6483-4f93-994a-d060f3e3d9ae,2024-11-30 18:09:07,allowance.created,weekly,monday,5.0,2.0
81c118e4-5931-4912-9e2f-8a9736693e09,2024-11-30 22:18:28,weekly,friday,2024-12-01 01:19:02.871997769+00:00,6,enabled,81c118e4-5931-4912-9e2f-8a9736693e09,2024-11-30 17:18:28,allowance.created,biweekly,friday,20.0,13.0
0edc59a6-f0ec-45dd-b25d-21cdcb6c578a,2024-11-02 13:19:17,monthly,first_day,2024-12-01 08:00:27.701554712+00:00,1,enabled,0edc59a6-f0ec-45dd-b25d-21cdcb6c578a,2024-11-30 16:43:57,allowance.edited,monthly,first_day,10.0,2.0
e4d9d5f4-ac7e-4ae5-9b89-d50aa767e481,2024-11-30 20:13:37,biweekly,tuesday,2024-11-30 23:18:33.251675944+00:00,10,enabled,e4d9d5f4-ac7e-4ae5-9b89-d50aa767e481,2024-11-30 15:14:47,allowance.edited,biweekly,sunday,5.0,8.0
634812b1-d411-41e0-b57c-5adcf2d16526,2024-11-30 18:49:28,biweekly,friday,2024-11-30 21:50:44.578649537+00:00,13,enabled,634812b1-d411-41e0-b57c-5adcf2d16526,2024-11-30 13:49:28,allowance.created,biweekly,monday,30.0,9.0
2a8551ff-346c-485d-807a-879af12a8ce0,2024-11-30 16:39:51,weekly,saturday,2024-12-01 18:53:24.319839794+00:00,7,enabled,2a8551ff-346c-485d-807a-879af12a8ce0,2024-11-30 11:39:51,allowance.created,weekly,monday,5.0,2.0
b92cf73a-c48f-4a46-80da-5e4f81bf3514,2024-11-30 16:39:37,weekly,saturday,2024-12-01 18:53:06.824619392+00:00,7,enabled,b92cf73a-c48f-4a46-80da-5e4f81bf3514,2024-11-30 11:39:37,allowance.created,weekly,monday,5.0,2.0
de72bc3b-03e2-48eb-b00d-9934d26a7f09,2024-11-30 16:39:14,weekly,saturday,2024-12-01 18:52:57.957491126+00:00,7,enabled,de72bc3b-03e2-48eb-b00d-9934d26a7f09,2024-11-30 11:39:15,allowance.created,weekly,monday,5.0,2.0
32d50adf-c09f-41a6-aac8-b234c9b21900,2024-11-30 14:41:29,weekly,sunday,2024-11-30 17:48:14.898816638+00:00,1,enabled,32d50adf-c09f-41a6-aac8-b234c9b21900,2024-11-30 09:48:15,allowance.edited,weekly,sunday,5.0,8.0
19d933a6-2810-4c08-b3d6-d68ef3c6eac3,2024-11-26 03:40:16,weekly,saturday,2024-11-30 17:32:29.529370311+00:00,7,enabled,19d933a6-2810-4c08-b3d6-d68ef3c6eac3,2024-11-30 09:32:21,allowance.edited,weekly,thursday,15.0,5.0
51b8afc4-729f-4315-a2e3-f9dbb9a4a0ef,2024-08-19 16:55:45,monthly,first_day,2024-12-01 08:00:33.841805403+00:00,1,enabled,51b8afc4-729f-4315-a2e3-f9dbb9a4a0ef,2024-11-30 09:31:33,allowance.edited,monthly,first_day,25.0,2.0
92446139-5800-4f4f-ba5e-fbf6cf682af3,2024-11-30 14:10:22,biweekly,wednesday,2024-12-02 17:24:38.183616804+00:00,11,enabled,92446139-5800-4f4f-ba5e-fbf6cf682af3,2024-11-30 09:12:02,allowance.edited,weekly,sunday,10.0,8.0
3c53f276-8ea4-401a-81ea-e6edc7277df5,2024-11-27 04:58:33,monthly,fifteenth_day,2024-11-30 17:10:12.049706625+00:00,15,enabled,3c53f276-8ea4-401a-81ea-e6edc7277df5,2024-11-30 09:10:12,allowance.edited,monthly,fifteenth_day,10.0,7.0
c12427b5-0cec-4be1-b4bb-7d35d38b8162,2024-11-27 04:56:23,monthly,fifteenth_day,2024-11-30 17:10:02.990562216+00:00,15,enabled,c12427b5-0cec-4be1-b4bb-7d35d38b8162,2024-11-30 09:10:03,allowance.edited,monthly,fifteenth_day,10.0,7.0
077e2ff6-447a-4c9e-b332-03eca7d66b20,2024-11-30 13:46:51,monthly,first_day,2024-12-01 08:00:25.901753490+00:00,1,enabled,077e2ff6-447a-4c9e-b332-03eca7d66b20,2024-11-30 08:46:51,allowance.created,monthly,first_day,10.0,2.0
31941da9-719d-4ea3-9d82-6eecec789da4,2024-11-30 13:29:11,monthly,first_day,2024-11-30 13:29:11,1,enabled,31941da9-719d-4ea3-9d82-6eecec789da4,2024-11-30 08:29:11,allowance.created,monthly,first_day,10.0,2.0
49b3cf33-dfbc-4059-a2a8-1e5e8c7e9d0f,2024-11-30 13:29:01,monthly,first_day,2024-11-30 13:29:01,1,enabled,49b3cf33-dfbc-4059-a2a8-1e5e8c7e9d0f,2024-11-30 08:29:01,allowance.created,monthly,first_day,10.0,2.0
0623755a-d349-44f2-baa7-4690cb68edb3,2024-11-30 13:28:50,monthly,first_day,2024-11-30 13:28:50,1,enabled,0623755a-d349-44f2-baa7-4690cb68edb3,2024-11-30 08:28:50,allowance.created,monthly,first_day,10.0,2.0
9c6e021f-ec9b-4ec8-a7d4-87aa29f7aa5d,2024-11-30 13:28:33,monthly,first_day,2024-11-30 13:28:33,1,enabled,9c6e021f-ec9b-4ec8-a7d4-87aa29f7aa5d,2024-11-30 08:28:33,allowance.created,monthly,first_day,20.0,2.0
aa2bb3c1-43f8-4718-84c1-f660b9ef19f5,2024-11-30 13:27:13,biweekly,tuesday,2024-12-02 12:46:09.066979122+00:00,10,enabled,aa2bb3c1-43f8-4718-84c1-f660b9ef19f5,2024-11-30 08:27:13,allowance.created,biweekly,saturday,5.0,14.0
d2ad566f-c59f-4b85-8525-8f8dd051db3a,2024-11-30 12:09:46,daily,daily,2024-11-30 12:09:46,1,enabled,d2ad566f-c59f-4b85-8525-8f8dd051db3a,2024-11-30 07:09:46,allowance.created,daily,daily,20.0,8.0
990d4a0c-cede-4938-bdb1-fdbab1544989,2024-11-29 16:08:01,daily,daily,2024-11-30 15:06:59.545684982+00:00,1,enabled,990d4a0c-cede-4938-bdb1-fdbab1544989,2024-11-30 07:06:59,allowance.edited,daily,daily,29.0,8.0
d1338a26-88de-400c-bf5f-4efe4b169eb2,2024-11-18 22:46:40,biweekly,friday,2024-11-30 13:37:39.085657202+00:00,13,enabled,d1338a26-88de-400c-bf5f-4efe4b169eb2,2024-11-30 05:37:22,allowance.edited,monthly,first_day,20.0,2.0
7c80ffb7-ec6c-4b65-a6de-cb51d87e7193,2024-10-06 17:57:30,monthly,first_day,2024-12-01 08:00:35.011741095+00:00,1,enabled,7c80ffb7-ec6c-4b65-a6de-cb51d87e7193,2024-11-30 04:25:41,allowance.edited,monthly,first_day,30.0,2.0
dbd5c5bb-741b-4f41-b93d-2aae4c345fa8,2024-11-30 03:43:54,weekly,thursday,2024-11-30 06:45:02.803179533+00:00,5,enabled,dbd5c5bb-741b-4f41-b93d-2aae4c345fa8,2024-11-29 22:44:44,allowance.edited,weekly,saturday,5.0,7.0
b4924fa5-9c96-4797-af4c-0a8e2ee6bd09,2024-11-30 02:30:51,weekly,monday,2024-12-02 08:00:32.351496618+00:00,9,enabled,b4924fa5-9c96-4797-af4c-0a8e2ee6bd09,2024-11-29 21:30:51,allowance.created,weekly,monday,30.0,2.0
3e544491-2070-41cf-b4f1-c922a5945a38,2024-11-08 20:18:30,biweekly,saturday,2024-11-30 08:00:27.774539185+00:00,14,enabled,3e544491-2070-41cf-b4f1-c922a5945a38,2024-11-29 18:40:00,allowance.edited,biweekly,saturday,10.0,7.0
d9a09694-46e5-4c45-94d6-3ad84b539a22,2024-11-24 09:58:01,weekly,saturday,2024-11-30 01:42:43.939971471+00:00,7,enabled,d9a09694-46e5-4c45-94d6-3ad84b539a22,2024-11-29 17:40:52,allowance.edited,weekly,friday,5.0,6.0
d723defc-da42-44bc-bef4-daa7cb722bca,2024-11-29 22:15:42,biweekly,friday,2024-11-30 01:16:02.416147756+00:00,13,enabled,d723defc-da42-44bc-bef4-daa7cb722bca,2024-11-29 17:15:42,allowance.created,biweekly,monday,20.0,9.0
6ca19a12-7b20-4259-b2ec-ace482558797,2024-11-29 21:30:07,weekly,saturday,2024-11-30 00:34:02.287961384+00:00,7,enabled,6ca19a12-7b20-4259-b2ec-ace482558797,2024-11-29 16:32:32,allowance.edited,weekly,friday,5.0,6.0
