uuid,creation_date,frequency,day,updated_at,next_payment_day,status,user.id,event.timestamp,event.name,allowance.scheduled.frequency,allowance.scheduled.day,allowance.amount,calculated_next_payment_day
a32f2c6c-b44f-4741-aab9-f662c69a1ee6,2024-12-02 22:02:59,weekly,saturday,2024-12-03 04:43:44.703051525+00:00,7,enabled,a32f2c6c-b44f-4741-aab9-f662c69a1ee6,2024-12-02 15:53:58,allowance.edited,weekly,sunday,12.0,8.0
3f48527e-b835-4277-abff-6f8b20fb98c3,2024-12-02 22:03:10,monthly,first_day,2024-12-02 22:10:41.765623354+00:00,1,enabled,3f48527e-b835-4277-abff-6f8b20fb98c3,2024-12-02 14:03:10,allowance.created,biweekly,monday,40.0,16.0
92446139-5800-4f4f-ba5e-fbf6cf682af3,2024-11-30 17:10:22,biweekly,wednesday,2024-12-02 17:24:38.183616804+00:00,11,enabled,92446139-5800-4f4f-ba5e-fbf6cf682af3,2024-12-02 09:24:24,allowance.edited,weekly,wednesday,10.0,4.0
f97fd653-7fbc-4632-91a2-7c3cfc038aad,2024-12-01 23:55:56,weekly,monday,2024-12-02 08:00:31.805970777+00:00,9,enabled,f97fd653-7fbc-4632-91a2-7c3cfc038aad,2024-12-01 15:55:56,allowance.created,weekly,friday,5.0,6.0
00f928a9-0516-435a-b084-8c579e5a01af,2024-12-01 19:57:52,biweekly,friday,2024-12-02 14:17:51.231072905+00:00,13,enabled,00f928a9-0516-435a-b084-8c579e5a01af,2024-12-01 12:02:52,allowance.edited,daily,daily,5.0,2.0
ad335f49-b596-4673-be2d-a65f4dec0173,2024-12-01 04:53:47,biweekly,tuesday,2024-12-01 04:56:08.407899880+00:00,10,enabled,ad335f49-b596-4673-be2d-a65f4dec0173,2024-11-30 20:53:47,allowance.created,weekly,tuesday,15.0,3.0
159b3774-5819-480b-bb87-27096e8f2a37,2024-12-01 04:53:19,biweekly,tuesday,2024-12-01 04:55:51.168734758+00:00,10,enabled,159b3774-5819-480b-bb87-27096e8f2a37,2024-11-30 20:53:19,allowance.created,weekly,tuesday,15.0,3.0
a4f5c3ad-af84-4920-a0da-5f4db1203bfc,2024-12-01 03:12:08,weekly,friday,2024-12-01 03:13:31.902576656+00:00,6,enabled,a4f5c3ad-af84-4920-a0da-5f4db1203bfc,2024-11-30 19:12:09,allowance.created,daily,daily,40.0,1.0
81c118e4-5931-4912-9e2f-8a9736693e09,2024-12-01 01:18:28,weekly,friday,2024-12-01 01:19:02.871997769+00:00,6,enabled,81c118e4-5931-4912-9e2f-8a9736693e09,2024-11-30 17:18:28,allowance.created,biweekly,friday,20.0,13.0
e4d9d5f4-ac7e-4ae5-9b89-d50aa767e481,2024-11-30 23:13:37,biweekly,tuesday,2024-11-30 23:18:33.251675944+00:00,10,enabled,e4d9d5f4-ac7e-4ae5-9b89-d50aa767e481,2024-11-30 15:14:47,allowance.edited,biweekly,sunday,5.0,1.0
